record_id,student_id,semester,subject_code,subject_name,credits,marks_obtained,total_marks,pass_fail
38,S00002,2,ME203,Material Science,3,47,100,Pass
39,S00002,2,ME204,Professional Communication,2,66,100,Pass
40,S00002,2,ME205,Constitution of India,2,65,100,Pass
41,S00002,3,ME301,Fluid Mechanics,4,52,100,Pass
42,S00002,3,ME302,Manufacturing Processes,3,58,100,Pass
43,S00002,3,ME303,Strength of Materials,4,24,100,F
44,S00002,3,ME304,Kinematics of Machinery,3,70,100,Pass
45,S00002,3,ME305,Metrology & Measurements,3,61,100,Pass
46,S00002,4,ME401,Heat Transfer,4,60,100,Pass
47,S00002,4,ME402,Machine Design I,4,71,100,Pass
48,S00002,4,ME403,Dynamics of Machinery,3,40,100,Pass
49,S00002,4,ME404,Applied Thermodynamics,3,59,100,Pass
50,S00002,4,ME405,Manufacturing Technology,3,25,100,F
51,S00003,1,CS101,Engineering Maths I,4,40,100,Pass
52,S00003,1,CS102,Engineering Physics,3,27,100,F
53,S00003,1,CS103,C Programming,3,54,100,Pass
54,S00003,1,CS104,Engineering Drawing,2,73,100,Pass
55,S00003,1,CS105,Environmental Science,2,68,100,Pass
56,S00003,2,CS201,Engineering Maths II,4,47,100,Pass
57,S00003,2,CS202,Data Structures,4,67,100,Pass
58,S00003,2,CS203,Digital Electronics,3,86,100,Pass
59,S00003,2,CS204,Professional Communication,2,77,100,Pass
60,S00003,2,CS205,Constitution of India,2,27,100,F
61,S00004,1,EC101,Engineering Maths I,4,58,100,Pass
62,S00004,1,EC102,Engineering Physics,3,89,100,Pass
63,S00004,1,EC103,Basic Electrical Engg,3,92,100,Pass
64,S00004,1,EC104,Engineering Drawing,2,90,100,Pass
65,S00004,1,EC105,Environmental Science,2,92,100,Pass
66,S00004,2,EC201,Engineering Maths II,4,50,100,Pass
67,S00004,2,EC202,Circuit Theory,4,49,100,Pass
68,S00004,2,EC203,Electronic Devices,3,91,100,Pass
69,S00004,2,EC204,Professional Communication,2,98,100,Pass
70,S00004,2,EC205,Constitution of India,2,92,100,Pass
71,S00004,3,EC301,Signals & Systems,4,71,100,Pass
72,S00004,3,EC302,Analog Electronics,3,72,100,Pass
73,S00004,3,EC303,Digital Electronics,3,84,100,Pass
74,S00004,3,EC304,Electromagnetic Theory,4,15,100,F
75,S00004,3,EC305,Network Analysis,3,19,100,F
76,S00004,4,EC401,Communication Theory,4,76,100,Pass
77,S00004,4,EC402,Microprocessors & Microcontrollers,4,89,100,Pass
78,S00004,4,EC403,Digital Signal Processing,4,79,100,Pass
79,S00004,4,EC404,Linear Integrated Circuits,3,61,100,Pass
80,S00004,4,EC405,Control Systems,3,83,100,Pass
81,S00004,5,EC501,VLSI Design,4,85,100,Pass
82,S00004,5,EC502,Digital Communication,3,56,100,Pass
83,S00004,5,EC503,Wireless Communication,3,93,100,Pass
84,S00004,5,EC504,Embedded Systems,3,77,100,Pass
85,S00004,5,EC505,Professional Ethics,2,78,100,Pass
86,S00004,6,EC601,RF & Microwave Engg,4,56,100,Pass
87,S00004,6,EC602,Antenna Theory,3,46,100,Pass
88,S00004,6,EC603,Optical Communication,3,62,100,Pass
89,S00004,6,EC604,IoT & Sensors,3,95,100,Pass
90,S00004,6,EC605,Elective I,3,67,100,Pass
91,S00004,7,EC701,5G & Advanced Comm,4,57,100,Pass
92,S00004,7,EC702,Image Processing,3,73,100,Pass
93,S00004,7,EC703,Project Management,3,79,100,Pass
94,S00004,7,EC704,Elective II,3,71,100,Pass
95,S00004,7,EC705,Mini Project,2,94,100,Pass
96,S00004,8,EC801,Capstone Project,6,79,100,Pass
97,S00004,8,EC802,Internship,4,93,100,Pass
98,S00004,8,EC803,Elective III,3,86,100,Pass
99,S00005,1,AI101,Engineering Maths I,4,88,100,Pass
100,S00005,1,AI102,Statistics & Probability,3,83,100,Pass
101,S00005,1,AI103,Python Programming,3,84,100,Pass
102,S00005,1,AI104,Engineering Drawing,2,96,100,Pass
103,S00005,1,AI105,Environmental Science,2,90,100,Pass
104,S00005,2,AI201,Engineering Maths II,4,68,100,Pass
105,S00005,2,AI202,Linear Algebra,4,19,100,F
106,S00005,2,AI203,Data Structures,3,71,100,Pass
107,S00005,2,AI204,Professional Communication,2,87,100,Pass
108,S00005,2,AI205,Constitution of India,2,95,100,Pass
109,S00005,3,AI301,DBMS,4,61,100,Pass
110,S00005,3,AI302,OOP with Python,3,63,100,Pass
111,S00005,3,AI303,Probability & Random Processes,4,62,100,Pass
112,S00005,3,AI304,Computer Vision Basics,3,79,100,Pass
113,S00005,3,AI305,Software Engineering,3,83,100,Pass
114,S00005,4,AI401,Machine Learning,4,58,100,Pass
115,S00005,4,AI402,Deep Learning Fundamentals,4,34,100,F
116,S00005,4,AI403,Natural Language Processing,3,68,100,Pass
117,S00005,4,AI404,Big Data Technologies,3,58,100,Pass
118,S00005,4,AI405,Web Technologies,3,88,100,Pass
119,S00005,5,AI501,Reinforcement Learning,4,87,100,Pass
120,S00005,5,AI502,Computer Vision,3,59,100,Pass
121,S00005,5,AI503,AI Ethics & Fairness,2,79,100,Pass
122,S00005,5,AI504,Cloud & MLOps,3,86,100,Pass
123,S00005,5,AI505,Professional Ethics,2,90,100,Pass
124,S00005,6,AI601,Generative AI,4,93,100,Pass
125,S00005,6,AI602,Time Series Analysis,3,91,100,Pass
126,S00005,6,AI603,Recommender Systems,3,74,100,Pass
127,S00005,6,AI604,Edge AI,3,79,100,Pass
128,S00005,6,AI605,Elective I,3,79,100,Pass
129,S00006,1,ME101,Engineering Maths I,4,67,100,Pass
130,S00006,1,ME102,Engineering Physics,3,61,100,Pass
131,S00006,1,ME103,Engineering Mechanics,4,48,100,Pass
132,S00006,1,ME104,Engineering Drawing,2,77,100,Pass
133,S00006,1,ME105,Environmental Science,2,67,100,Pass
134,S00006,2,ME201,Engineering Maths II,4,82,100,Pass
135,S00006,2,ME202,Thermodynamics,4,54,100,Pass
136,S00006,2,ME203,Material Science,3,74,100,Pass
137,S00006,2,ME204,Professional Communication,2,69,100,Pass
138,S00006,2,ME205,Constitution of India,2,85,100,Pass
139,S00006,3,ME301,Fluid Mechanics,4,58,100,Pass
140,S00006,3,ME302,Manufacturing Processes,3,79,100,Pass
141,S00006,3,ME303,Strength of Materials,4,81,100,Pass
142,S00006,3,ME304,Kinematics of Machinery,3,59,100,Pass
143,S00006,3,ME305,Metrology & Measurements,3,70,100,Pass
144,S00006,4,ME401,Heat Transfer,4,62,100,Pass
145,S00006,4,ME402,Machine Design I,4,45,100,Pass
146,S00006,4,ME403,Dynamics of Machinery,3,49,100,Pass
147,S00006,4,ME404,Applied Thermodynamics,3,21,100,F
148,S00006,4,ME405,Manufacturing Technology,3,88,100,Pass
149,S00006,5,ME501,Machine Design II,4,60,100,Pass
150,S00006,5,ME502,Industrial Engineering,3,54,100,Pass
151,S00006,5,ME503,Finite Element Analysis,3,61,100,Pass
152,S00006,5,ME504,Refrigeration & AC,3,61,100,Pass
153,S00006,5,ME505,Professional Ethics,2,69,100,Pass
154,S00006,6,ME601,CAD/CAM,4,55,100,Pass
155,S00006,6,ME602,Robotics & Automation,3,39,100,F
156,S00006,6,ME603,Power Plant Engineering,3,64,100,Pass
157,S00006,6,ME604,Operations Research,3,50,100,Pass
158,S00006,6,ME605,Elective I,3,53,100,Pass
159,S00006,7,ME701,Advanced Manufacturing,4,69,100,Pass
160,S00006,7,ME702,Product Design,3,60,100,Pass
161,S00006,7,ME703,Project Management,3,72,100,Pass
162,S00006,7,ME704,Elective II,3,72,100,Pass
163,S00006,7,ME705,Mini Project,2,73,100,Pass
164,S00006,8,ME801,Capstone Project,6,67,100,Pass
165,S00006,8,ME802,Internship,4,66,100,Pass
166,S00006,8,ME803,Elective III,3,20,100,F
167,S00007,1,CS101,Engineering Maths I,4,86,100,Pass
168,S00007,1,CS102,Engineering Physics,3,68,100,Pass
169,S00007,1,CS103,C Programming,3,68,100,Pass
170,S00007,1,CS104,Engineering Drawing,2,77,100,Pass
171,S00007,1,CS105,Environmental Science,2,70,100,Pass
172,S00007,2,CS201,Engineering Maths II,4,60,100,Pass
173,S00007,2,CS202,Data Structures,4,68,100,Pass
174,S00007,2,CS203,Digital Electronics,3,59,100,Pass
175,S00007,2,CS204,Professional Communication,2,97,100,Pass
176,S00007,2,CS205,Constitution of India,2,92,100,Pass
177,S00008,1,CS101,Engineering Maths I,4,44,100,Pass
178,S00008,1,CS102,Engineering Physics,3,86,100,Pass
179,S00008,1,CS103,C Programming,3,78,100,Pass
180,S00008,1,CS104,Engineering Drawing,2,78,100,Pass
181,S00008,1,CS105,Environmental Science,2,79,100,Pass
182,S00008,2,CS201,Engineering Maths II,4,47,100,Pass
183,S00008,2,CS202,Data Structures,4,72,100,Pass
184,S00008,2,CS203,Digital Electronics,3,67,100,Pass
185,S00008,2,CS204,Professional Communication,2,78,100,Pass
186,S00008,2,CS205,Constitution of India,2,95,100,Pass
187,S00008,3,CS301,DBMS,4,61,100,Pass
188,S00008,3,CS302,OOP with Java,3,57,100,Pass
189,S00008,3,CS303,Computer Organization,3,47,100,Pass
190,S00008,3,CS304,Discrete Mathematics,4,47,100,Pass
191,S00008,3,CS305,Software Engineering,3,63,100,Pass
192,S00008,4,CS401,Operating Systems,4,67,100,Pass
193,S00008,4,CS402,Computer Networks,4,84,100,Pass
194,S00008,4,CS403,Design & Analysis of Algorithms,4,64,100,Pass
195,S00008,4,CS404,Microprocessors,3,83,100,Pass
196,S00008,4,CS405,Web Technologies,3,79,100,Pass
197,S00008,5,CS501,Compiler Design,4,79,100,Pass
198,S00008,5,CS502,Artificial Intelligence,3,79,100,Pass
199,S00008,5,CS503,Information Security,3,69,100,Pass
200,S00008,5,CS504,Cloud Computing,3,84,100,Pass
201,S00008,5,CS505,Professional Ethics,2,84,100,Pass
202,S00008,6,CS601,Machine Learning,4,60,100,Pass
203,S00008,6,CS602,Big Data Analytics,3,62,100,Pass
204,S00008,6,CS603,Distributed Systems,3,70,100,Pass
205,S00008,6,CS604,Mobile Computing,3,76,100,Pass
206,S00008,6,CS605,Elective I,3,22,100,F
207,S00009,1,CS101,Engineering Maths I,4,49,100,Pass
208,S00009,1,CS102,Engineering Physics,3,52,100,Pass
209,S00009,1,CS103,C Programming,3,82,100,Pass
210,S00009,1,CS104,Engineering Drawing,2,93,100,Pass
211,S00009,1,CS105,Environmental Science,2,91,100,Pass
212,S00009,2,CS201,Engineering Maths II,4,45,100,Pass
213,S00009,2,CS202,Data Structures,4,67,100,Pass
214,S00009,2,CS203,Digital Electronics,3,69,100,Pass
215,S00009,2,CS204,Professional Communication,2,69,100,Pass
216,S00009,2,CS205,Constitution of India,2,76,100,Pass
217,S00009,3,CS301,DBMS,4,85,100,Pass
218,S00009,3,CS302,OOP with Java,3,79,100,Pass
219,S00009,3,CS303,Computer Organization,3,61,100,Pass
220,S00009,3,CS304,Discrete Mathematics,4,86,100,Pass
221,S00009,3,CS305,Software Engineering,3,90,100,Pass
222,S00009,4,CS401,Operating Systems,4,75,100,Pass
223,S00009,4,CS402,Computer Networks,4,53,100,Pass
224,S00009,4,CS403,Design & Analysis of Algorithms,4,48,100,Pass
225,S00009,4,CS404,Microprocessors,3,87,100,Pass
226,S00009,4,CS405,Web Technologies,3,78,100,Pass
227,S00009,5,CS501,Compiler Design,4,63,100,Pass
228,S00009,5,CS502,Artificial Intelligence,3,79,100,Pass
229,S00009,5,CS503,Information Security,3,71,100,Pass
230,S00009,5,CS504,Cloud Computing,3,94,100,Pass
231,S00009,5,CS505,Professional Ethics,2,93,100,Pass
232,S00009,6,CS601,Machine Learning,4,64,100,Pass
233,S00009,6,CS602,Big Data Analytics,3,63,100,Pass
234,S00009,6,CS603,Distributed Systems,3,88,100,Pass
235,S00009,6,CS604,Mobile Computing,3,69,100,Pass
236,S00009,6,CS605,Elective I,3,83,100,Pass
237,S00010,1,EC101,Engineering Maths I,4,53,100,Pass
238,S00010,1,EC102,Engineering Physics,3,67,100,Pass
239,S00010,1,EC103,Basic Electrical Engg,3,97,100,Pass
240,S00010,1,EC104,Engineering Drawing,2,62,100,Pass
241,S00010,1,EC105,Environmental Science,2,79,100,Pass
242,S00010,2,EC201,Engineering Maths II,4,42,100,Pass
243,S00010,2,EC202,Circuit Theory,4,54,100,Pass
244,S00010,2,EC203,Electronic Devices,3,91,100,Pass
245,S00010,2,EC204,Professional Communication,2,76,100,Pass
246,S00010,2,EC205,Constitution of India,2,68,100,Pass
247,S00010,3,EC301,Signals & Systems,4,35,100,F
248,S00010,3,EC302,Analog Electronics,3,77,100,Pass
249,S00010,3,EC303,Digital Electronics,3,65,100,Pass
250,S00010,3,EC304,Electromagnetic Theory,4,34,100,F
251,S00010,3,EC305,Network Analysis,3,93,100,Pass
252,S00010,4,EC401,Communication Theory,4,79,100,Pass
253,S00010,4,EC402,Microprocessors & Microcontrollers,4,65,100,Pass
254,S00010,4,EC403,Digital Signal Processing,4,53,100,Pass
255,S00010,4,EC404,Linear Integrated Circuits,3,79,100,Pass
256,S00010,4,EC405,Control Systems,3,81,100,Pass
257,S00010,5,EC501,VLSI Design,4,51,100,Pass
258,S00010,5,EC502,Digital Communication,3,61,100,Pass
259,S00010,5,EC503,Wireless Communication,3,85,100,Pass
260,S00010,5,EC504,Embedded Systems,3,59,100,Pass
261,S00010,5,EC505,Professional Ethics,2,89,100,Pass
262,S00011,1,AI101,Engineering Maths I,4,87,100,Pass
263,S00011,1,AI102,Statistics & Probability,3,85,100,Pass
264,S00011,1,AI103,Python Programming,3,77,100,Pass
265,S00011,1,AI104,Engineering Drawing,2,92,100,Pass
266,S00011,1,AI105,Environmental Science,2,92,100,Pass
267,S00011,2,AI201,Engineering Maths II,4,65,100,Pass
268,S00011,2,AI202,Linear Algebra,4,79,100,Pass
269,S00011,2,AI203,Data Structures,3,63,100,Pass
270,S00011,2,AI204,Professional Communication,2,79,100,Pass
271,S00011,2,AI205,Constitution of India,2,88,100,Pass
272,S00011,3,AI301,DBMS,4,89,100,Pass
273,S00011,3,AI302,OOP with Python,3,67,100,Pass
274,S00011,3,AI303,Probability & Random Processes,4,81,100,Pass
275,S00011,3,AI304,Computer Vision Basics,3,92,100,Pass
276,S00011,3,AI305,Software Engineering,3,75,100,Pass
277,S00011,4,AI401,Machine Learning,4,83,100,Pass
278,S00011,4,AI402,Deep Learning Fundamentals,4,74,100,Pass
279,S00011,4,AI403,Natural Language Processing,3,58,100,Pass
280,S00011,4,AI404,Big Data Technologies,3,71,100,Pass
281,S00011,4,AI405,Web Technologies,3,93,100,Pass
282,S00011,5,AI501,Reinforcement Learning,4,69,100,Pass
283,S00011,5,AI502,Computer Vision,3,79,100,Pass
284,S00011,5,AI503,AI Ethics & Fairness,2,95,100,Pass
285,S00011,5,AI504,Cloud & MLOps,3,91,100,Pass
286,S00011,5,AI505,Professional Ethics,2,79,100,Pass
287,S00011,6,AI601,Generative AI,4,93,100,Pass
288,S00011,6,AI602,Time Series Analysis,3,26,100,F
289,S00011,6,AI603,Recommender Systems,3,91,100,Pass
290,S00011,6,AI604,Edge AI,3,79,100,Pass
291,S00011,6,AI605,Elective I,3,82,100,Pass
292,S00012,1,ME101,Engineering Maths I,4,74,100,Pass
293,S00012,1,ME102,Engineering Physics,3,43,100,Pass
294,S00012,1,ME103,Engineering Mechanics,4,51,100,Pass
295,S00012,1,ME104,Engineering Drawing,2,74,100,Pass
296,S00012,1,ME105,Environmental Science,2,72,100,Pass
297,S00012,2,ME201,Engineering Maths II,4,47,100,Pass
298,S00012,2,ME202,Thermodynamics,4,51,100,Pass
299,S00012,2,ME203,Material Science,3,57,100,Pass
300,S00012,2,ME204,Professional Communication,2,66,100,Pass
301,S00012,2,ME205,Constitution of India,2,76,100,Pass
302,S00012,3,ME301,Fluid Mechanics,4,18,100,F
303,S00012,3,ME302,Manufacturing Processes,3,52,100,Pass
304,S00012,3,ME303,Strength of Materials,4,66,100,Pass
305,S00012,3,ME304,Kinematics of Machinery,3,65,100,Pass
306,S00012,3,ME305,Metrology & Measurements,3,60,100,Pass
307,S00012,4,ME401,Heat Transfer,4,40,100,Pass
308,S00012,4,ME402,Machine Design I,4,38,100,F
309,S00012,4,ME403,Dynamics of Machinery,3,17,100,F
310,S00012,4,ME404,Applied Thermodynamics,3,67,100,Pass
311,S00012,4,ME405,Manufacturing Technology,3,61,100,Pass
312,S00012,5,ME501,Machine Design II,4,32,100,F
313,S00012,5,ME502,Industrial Engineering,3,62,100,Pass
314,S00012,5,ME503,Finite Element Analysis,3,58,100,Pass
315,S00012,5,ME504,Refrigeration & AC,3,47,100,Pass
316,S00012,5,ME505,Professional Ethics,2,71,100,Pass
317,S00012,6,ME601,CAD/CAM,4,71,100,Pass
318,S00012,6,ME602,Robotics & Automation,3,68,100,Pass
319,S00012,6,ME603,Power Plant Engineering,3,51,100,Pass
320,S00012,6,ME604,Operations Research,3,53,100,Pass
321,S00012,6,ME605,Elective I,3,23,100,F
322,S00013,1,CS101,Engineering Maths I,4,62,100,Pass
323,S00013,1,CS102,Engineering Physics,3,34,100,F
324,S00013,1,CS103,C Programming,3,44,100,Pass
325,S00013,1,CS104,Engineering Drawing,2,69,100,Pass
326,S00013,1,CS105,Environmental Science,2,79,100,Pass
327,S00013,2,CS201,Engineering Maths II,4,54,100,Pass
328,S00013,2,CS202,Data Structures,4,88,100,Pass
329,S00013,2,CS203,Digital Electronics,3,62,100,Pass
330,S00013,2,CS204,Professional Communication,2,69,100,Pass
331,S00013,2,CS205,Constitution of India,2,79,100,Pass
332,S00013,3,CS301,DBMS,4,74,100,Pass
333,S00013,3,CS302,OOP with Java,3,48,100,Pass
334,S00013,3,CS303,Computer Organization,3,52,100,Pass
335,S00013,3,CS304,Discrete Mathematics,4,68,100,Pass
336,S00013,3,CS305,Software Engineering,3,53,100,Pass
337,S00013,4,CS401,Operating Systems,4,71,100,Pass
338,S00013,4,CS402,Computer Networks,4,70,100,Pass
339,S00013,4,CS403,Design & Analysis of Algorithms,4,49,100,Pass
340,S00013,4,CS404,Microprocessors,3,19,100,F
341,S00013,4,CS405,Web Technologies,3,73,100,Pass
342,S00013,5,CS501,Compiler Design,4,59,100,Pass
343,S00013,5,CS502,Artificial Intelligence,3,79,100,Pass
344,S00013,5,CS503,Information Security,3,88,100,Pass
345,S00013,5,CS504,Cloud Computing,3,77,100,Pass
346,S00013,5,CS505,Professional Ethics,2,18,100,F
347,S00014,1,AI101,Engineering Maths I,4,28,100,F
348,S00014,1,AI102,Statistics & Probability,3,81,100,Pass
349,S00014,1,AI103,Python Programming,3,60,100,Pass
350,S00014,1,AI104,Engineering Drawing,2,89,100,Pass
351,S00014,1,AI105,Environmental Science,2,77,100,Pass
352,S00014,2,AI201,Engineering Maths II,4,64,100,Pass
353,S00014,2,AI202,Linear Algebra,4,88,100,Pass
354,S00014,2,AI203,Data Structures,3,59,100,Pass
355,S00014,2,AI204,Professional Communication,2,85,100,Pass
356,S00014,2,AI205,Constitution of India,2,93,100,Pass
357,S00014,3,AI301,DBMS,4,73,100,Pass
358,S00014,3,AI302,OOP with Python,3,78,100,Pass
359,S00014,3,AI303,Probability & Random Processes,4,53,100,Pass
360,S00014,3,AI304,Computer Vision Basics,3,64,100,Pass
361,S00014,3,AI305,Software Engineering,3,58,100,Pass
362,S00014,4,AI401,Machine Learning,4,55,100,Pass
363,S00014,4,AI402,Deep Learning Fundamentals,4,22,100,F
364,S00014,4,AI403,Natural Language Processing,3,59,100,Pass
365,S00014,4,AI404,Big Data Technologies,3,15,100,F
366,S00014,4,AI405,Web Technologies,3,67,100,Pass
367,S00015,1,EC101,Engineering Maths I,4,17,100,F
368,S00015,1,EC102,Engineering Physics,3,69,100,Pass
369,S00015,1,EC103,Basic Electrical Engg,3,66,100,Pass
370,S00015,1,EC104,Engineering Drawing,2,83,100,Pass
371,S00015,1,EC105,Environmental Science,2,86,100,Pass
372,S00015,2,EC201,Engineering Maths II,4,38,100,F
373,S00015,2,EC202,Circuit Theory,4,40,100,Pass
374,S00015,2,EC203,Electronic Devices,3,90,100,Pass
375,S00015,2,EC204,Professional Communication,2,81,100,Pass
376,S00015,2,EC205,Constitution of India,2,78,100,Pass
377,S00015,3,EC301,Signals & Systems,4,81,100,Pass
378,S00015,3,EC302,Analog Electronics,3,68,100,Pass
379,S00015,3,EC303,Digital Electronics,3,82,100,Pass
380,S00015,3,EC304,Electromagnetic Theory,4,59,100,Pass
381,S00015,3,EC305,Network Analysis,3,52,100,Pass
382,S00015,4,EC401,Communication Theory,4,79,100,Pass
383,S00015,4,EC402,Microprocessors & Microcontrollers,4,80,100,Pass
384,S00015,4,EC403,Digital Signal Processing,4,72,100,Pass
385,S00015,4,EC404,Linear Integrated Circuits,3,68,100,Pass
386,S00015,4,EC405,Control Systems,3,83,100,Pass
387,S00015,5,EC501,VLSI Design,4,48,100,Pass
388,S00015,5,EC502,Digital Communication,3,83,100,Pass
389,S00015,5,EC503,Wireless Communication,3,56,100,Pass
390,S00015,5,EC504,Embedded Systems,3,61,100,Pass
391,S00015,5,EC505,Professional Ethics,2,84,100,Pass
392,S00015,6,EC601,RF & Microwave Engg,4,73,100,Pass
393,S00015,6,EC602,Antenna Theory,3,49,100,Pass
394,S00015,6,EC603,Optical Communication,3,57,100,Pass
395,S00015,6,EC604,IoT & Sensors,3,65,100,Pass
396,S00015,6,EC605,Elective I,3,58,100,Pass
397,S00016,1,CS101,Engineering Maths I,4,80,100,Pass
398,S00016,1,CS102,Engineering Physics,3,85,100,Pass
399,S00016,1,CS103,C Programming,3,82,100,Pass
400,S00016,1,CS104,Engineering Drawing,2,64,100,Pass
401,S00016,1,CS105,Environmental Science,2,65,100,Pass
402,S00016,2,CS201,Engineering Maths II,4,65,100,Pass
403,S00016,2,CS202,Data Structures,4,65,100,Pass
404,S00016,2,CS203,Digital Electronics,3,72,100,Pass
405,S00016,2,CS204,Professional Communication,2,79,100,Pass
406,S00016,2,CS205,Constitution of India,2,91,100,Pass
407,S00017,1,CS101,Engineering Maths I,4,24,100,F
408,S00017,1,CS102,Engineering Physics,3,92,100,Pass
409,S00017,1,CS103,C Programming,3,64,100,Pass
410,S00017,1,CS104,Engineering Drawing,2,85,100,Pass
411,S00017,1,CS105,Environmental Science,2,97,100,Pass
412,S00017,2,CS201,Engineering Maths II,4,59,100,Pass
413,S00017,2,CS202,Data Structures,4,93,100,Pass
414,S00017,2,CS203,Digital Electronics,3,53,100,Pass
415,S00017,2,CS204,Professional Communication,2,73,100,Pass
416,S00017,2,CS205,Constitution of India,2,77,100,Pass
417,S00017,3,CS301,DBMS,4,87,100,Pass
418,S00017,3,CS302,OOP with Java,3,84,100,Pass
419,S00017,3,CS303,Computer Organization,3,88,100,Pass
420,S00017,3,CS304,Discrete Mathematics,4,78,100,Pass
421,S00017,3,CS305,Software Engineering,3,67,100,Pass
422,S00017,4,CS401,Operating Systems,4,87,100,Pass
423,S00017,4,CS402,Computer Networks,4,72,100,Pass
424,S00017,4,CS403,Design & Analysis of Algorithms,4,67,100,Pass
425,S00017,4,CS404,Microprocessors,3,81,100,Pass
426,S00017,4,CS405,Web Technologies,3,66,100,Pass
427,S00018,1,ME101,Engineering Maths I,4,75,100,Pass
428,S00018,1,ME102,Engineering Physics,3,74,100,Pass
429,S00018,1,ME103,Engineering Mechanics,4,82,100,Pass
430,S00018,1,ME104,Engineering Drawing,2,100,100,Pass
431,S00018,1,ME105,Environmental Science,2,79,100,Pass
432,S00018,2,ME201,Engineering Maths II,4,74,100,Pass
433,S00018,2,ME202,Thermodynamics,4,63,100,Pass
434,S00018,2,ME203,Material Science,3,99,100,Pass
435,S00018,2,ME204,Professional Communication,2,79,100,Pass
436,S00018,2,ME205,Constitution of India,2,78,100,Pass
437,S00018,3,ME301,Fluid Mechanics,4,72,100,Pass
438,S00018,3,ME302,Manufacturing Processes,3,92,100,Pass
439,S00018,3,ME303,Strength of Materials,4,76,100,Pass
440,S00018,3,ME304,Kinematics of Machinery,3,84,100,Pass
441,S00018,3,ME305,Metrology & Measurements,3,92,100,Pass
442,S00018,4,ME401,Heat Transfer,4,73,100,Pass
443,S00018,4,ME402,Machine Design I,4,76,100,Pass
444,S00018,4,ME403,Dynamics of Machinery,3,51,100,Pass
445,S00018,4,ME404,Applied Thermodynamics,3,75,100,Pass
446,S00018,4,ME405,Manufacturing Technology,3,68,100,Pass
447,S00018,5,ME501,Machine Design II,4,70,100,Pass
448,S00018,5,ME502,Industrial Engineering,3,96,100,Pass
449,S00018,5,ME503,Finite Element Analysis,3,63,100,Pass
450,S00018,5,ME504,Refrigeration & AC,3,97,100,Pass
451,S00018,5,ME505,Professional Ethics,2,88,100,Pass
452,S00018,6,ME601,CAD/CAM,4,55,100,Pass
453,S00018,6,ME602,Robotics & Automation,3,89,100,Pass
454,S00018,6,ME603,Power Plant Engineering,3,91,100,Pass
455,S00018,6,ME604,Operations Research,3,89,100,Pass
456,S00018,6,ME605,Elective I,3,78,100,Pass
457,S00019,1,ME101,Engineering Maths I,4,54,100,Pass
458,S00019,1,ME102,Engineering Physics,3,51,100,Pass
459,S00019,1,ME103,Engineering Mechanics,4,61,100,Pass
460,S00019,1,ME104,Engineering Drawing,2,74,100,Pass
461,S00019,1,ME105,Environmental Science,2,65,100,Pass
462,S00019,2,ME201,Engineering Maths II,4,49,100,Pass
463,S00019,2,ME202,Thermodynamics,4,44,100,Pass
464,S00019,2,ME203,Material Science,3,82,100,Pass
465,S00019,2,ME204,Professional Communication,2,32,100,F
